"RelativePath","Filename","Category","Width","Height","BTI_AlphaBits","BTI_Format","TGA_AlphaType","TGA_AlphaValues","OpaqueCoveragePct","CoverageGroup"
"textures\villager e female head.tga","villager e female head.tga",,"32","32","0","BC3",,"1",,
"textures\villager e female.tga","villager e female.tga",,"64","64","1","BC3",,"3",,
"textures\villager e male standard.tga","villager e male standard.tga",,"64","64","1","BC3",,"3",,
"textures\villager g atlantean male head.tga","villager g atlantean male head.tga",,"32","32","1","BC3",,"1",,
"textures\villager g atlantean male.tga","villager g atlantean male.tga",,"64","64","1","BC3",,"3",,
"textures\villager g female head.tga","villager g female head.tga",,"32","32","0","BC3",,"1",,
"textures\villager g female.tga","villager g female.tga",,"64","64","1","BC3",,"3",,
"textures\villager g male standard.tga","villager g male standard.tga",,"64","64","1","BC3",,"3",,
"textures\villager n female head.tga","villager n female head.tga",,"32","32","0","BC3",,"1",,
"textures\villager n female.tga","villager n female.tga",,"64","64","1","BC3",,"3",,
"textures\villager n male standard.tga","villager n male standard.tga",,"64","64","1","BC3",,"3",,
"textures\villager n ox.tga","villager n ox.tga",,"64","64","1","BC3",,"3",,
"textures\villager n oxcart.tga","villager n oxcart.tga",,"128","128","1","BC3",,"2",,
"textures\villager x female hero.tga","villager x female hero.tga",,"64","64","1","BC3",,"3",,
"textures\villager x female.tga","villager x female.tga",,"64","64","1","BC3",,"3",,
"textures\villager x male hero.tga","villager x male hero.tga",,"64","64","1","BC3",,"3",,
"textures\villager x male.tga","villager x male.tga",,"64","64","1","BC3",,"3",,
"textures\villager x pony.tga","villager x pony.tga",,"64","64","1","BC3",,"3",,
"textures\waypoint.tga","waypoint.tga",,"64","64","1","BC3",,"3",,
"textures\world a bouy.tga","world a bouy.tga",,"32","32","1","BC3",,"2",,
"textures\world a fountain.tga","world a fountain.tga",,"64","64","1","BC3",,"1",,
"textures\world a gold map.tga","world a gold map.tga",,"256","256","1","BC3",,"1",,
"textures\world a jade map.tga","world a jade map.tga",,"256","256","1","BC3",,"1",,
"textures\world a relic armor of achilles.tga","world a relic armor of achilles.tga",,"128","64","1","BC3",,"1",,
"textures\world a relic eye of horus.tga","world a relic eye of horus.tga",,"128","64","1","BC3",,"1",,
"textures\world a relic fetters of fenrir.tga","world a relic fetters of fenrir.tga",,"128","64","1","BC3",,"1",,
"textures\world a relic golden bridle of pegasus.tga","world a relic golden bridle of pegasus.tga",,"128","64","1","BC3",,"1",,
"textures\world a relic head of orpheus.tga","world a relic head of orpheus.tga",,"128","64","1","BC3",,"1",,
"textures\world a relic monkey.tga","world a relic monkey.tga",,"128","64","1","BC3",,"1",,
"textures\world a relic ring of the nibelung.tga","world a relic ring of the nibelung.tga",,"128","64","1","BC3",,"1",,
"textures\world a relic ship of fingernails.tga","world a relic ship of fingernails.tga",,"128","64","1","BC3",,"1",,
"textures\world a relic standard.tga","world a relic standard.tga",,"64","64","1","BC3",,"2",,
"textures\world a relic the wedjat eye.tga","world a relic the wedjat eye.tga",,"128","64","1","BC3",,"1",,
"textures\world a tents map.tga","world a tents map.tga",,"256","256","1","BC3",,"3",,
"textures\world a underworld crator.tga","world a underworld crator.tga",,"256","256","4","BC3",,"256",,
"textures\world a underworld passage color transform.tga","world a underworld passage color transform.tga",,"64","64","1","BC3",,"3",,
"textures\world a waypoint flag.tga","world a waypoint flag.tga",,"128","64","1","BC3",,"2",,
"textures\world c dam.tga","world c dam.tga",,"128","128","4","BC3",,"1",,
"textures\world c statue nuwa stand.tga","world c statue nuwa stand.tga",,"32","64","4","BC3",,"2",,
"textures\world c statue nuwa.tga","world c statue nuwa.tga",,"128","128","4","BC3",,"131",,
"textures\world c statue shennong head.tga","world c statue shennong head.tga",,"64","64","4","BC3",,"1",,
"textures\world c statue shennong.tga","world c statue shennong.tga",,"128","128","4","BC3",,"9",,
"textures\world e brazier map.tga","world e brazier map.tga",,"64","64","1","BC3",,"1",,
"textures\world e garrison flag.tga","world e garrison flag.tga",,"64","32","1","BC3",,"3",,
"textures\world e statue isis.tga","world e statue isis.tga",,"128","128","1","BC3",,"2",,
"textures\world e statue ra.tga","world e statue ra.tga",,"128","128","1","BC3",,"2",,
"textures\world e statue set.tga","world e statue set.tga",,"128","128","1","BC3",,"3",,
"textures\world e tent.tga","world e tent.tga",,"128","128","1","BC3",,"2",,
"textures\world g brazier map.tga","world g brazier map.tga",,"64","64","1","BC3",,"1",,
"textures\world g garrison flag.tga","world g garrison flag.tga",,"64","32","1","BC3",,"2",,
"textures\world g hades temple.tga","world g hades temple.tga",,"256","256","1","BC3",,"2",,
"textures\world g shrine map.tga","world g shrine map.tga",,"128","128","1","BC3",,"2",,
"textures\world g statue base.tga","world g statue base.tga",,"64","32","1","BC3",,"1",,
"textures\world g statue hades.tga","world g statue hades.tga",,"128","128","1","BC3",,"2",,
"textures\world g statue poseidon base.tga","world g statue poseidon base.tga",,"64","32","1","BC3",,"1",,
"textures\world g statue poseidon.tga","world g statue poseidon.tga",,"128","128","1","BC3",,"3",,
"textures\world g statue zeus.tga","world g statue zeus.tga",,"128","128","1","BC3",,"2",,
"textures\world g tent.tga","world g tent.tga",,"128","128","1","BC3",,"3",,
"textures\world g zues uwpassage.tga","world g zues uwpassage.tga",,"256","256","1","BC3",,"1",,
"textures\world g zuesstairs.tga","world g zuesstairs.tga",,"128","128","1","BC3",,"1",,
"textures\world n brazier map.tga","world n brazier map.tga",,"64","64","1","BC3",,"1",,
"textures\world n garrison flag.tga","world n garrison flag.tga",,"64","32","1","BC3",,"3",,
"textures\world n loki statue map.tga","world n loki statue map.tga",,"128","128","1","BC3",,"3",,
"textures\world n odin statue map.tga","world n odin statue map.tga",,"128","128","1","BC3",,"3",,
"textures\world n statue loki.tga","world n statue loki.tga",,"128","128","1","BC3",,"3",,
"textures\world n statue odin.tga","world n statue odin.tga",,"128","128","1","BC3",,"3",,
"textures\world n statue thor.tga","world n statue thor.tga",,"128","128","1","BC3",,"3",,
"textures\world n tent.tga","world n tent.tga",,"128","128","1","BC3",,"3",,
"textures\world n thor statue map.tga","world n thor statue map.tga",,"128","128","1","BC3",,"3",,
"textures\world x gaia  statue map.tga","world x gaia  statue map.tga",,"128","128","1","BC3",,"3",,
